team,season,xG,xGA,xPTS,PPDA,DC,실제득점,실제실점,실제승점,승,무,패,득실차,승점차(실제-xPTS),순위,팀,시즌,cluster,군집
Chelsea,24-25,73.12,54.26,62.56,11.4,337,64,43,69,20,9,9,21,6.439999999999998,4,Chelsea,24-25,1,상위권
Newcastle United,24-25,71.48,53.98,62.61,10.78,349,68,47,66,20,6,12,21,3.3900000000000006,5,Newcastle United,24-25,1,상위권
Aston Villa,24-25,66.39,55.0,61.53,13.55,285,58,51,66,19,9,10,7,4.469999999999999,6,Aston Villa,24-25,0,중위권
Nottingham Forest,24-25,52.75,55.92,50.01,15.3,220,58,46,65,19,8,11,12,14.990000000000002,7,Nottingham Forest,24-25,0,중위권
Brighton,24-25,65.28,59.12,57.26,10.57,322,66,59,61,16,13,9,7,3.740000000000002,8,Brighton,24-25,0,중위권
Bournemouth,24-25,72.62,53.99,65.03,8.91,283,58,46,56,15,11,12,12,-9.030000000000001,9,Bournemouth,24-25,1,상위권
Brentford,24-25,67.12,60.86,54.94,11.89,278,66,57,56,16,8,14,9,1.0600000000000023,10,Brentford,24-25,0,중위권
Fulham,24-25,58.0,49.23,57.6,13.93,232,54,54,54,15,9,14,0,-3.6000000000000014,11,Fulham,24-25,0,중위권
Crystal Palace,24-25,67.78,58.88,58.16,15.3,243,51,51,53,13,14,11,0,-5.159999999999997,12,Crystal Palace,24-25,0,중위권
Everton,24-25,46.87,53.66,47.65,15.1,186,42,44,48,11,15,12,-2,0.3500000000000014,13,Everton,24-25,0,중위권
West Ham,24-25,50.59,68.09,41.76,13.91,224,46,62,43,11,10,17,-16,1.240000000000002,14,West Ham,24-25,2,하위권
Manchester United,24-25,56.91,60.73,52.24,10.61,309,44,54,42,11,9,18,-10,-10.240000000000002,15,Manchester United,24-25,0,중위권
Wolverhampton Wanderers,24-25,45.37,61.57,41.45,12.19,215,54,69,42,12,6,20,-15,0.5499999999999972,16,Wolverhampton Wanderers,24-25,0,중위권
Tottenham,24-25,65.36,68.23,50.07,10.88,316,64,65,38,11,5,22,-1,-12.07,17,Tottenham,24-25,0,중위권
Leicester,24-25,38.06,85.89,26.43,15.96,159,33,80,25,6,7,25,-47,-1.4299999999999997,18,Leicester,24-25,2,하위권
Ipswich,24-25,40.42,83.73,28.45,15.57,132,36,82,22,4,10,24,-46,-6.449999999999999,19,Ipswich,24-25,2,하위권
Southampton,24-25,38.63,98.35,22.69,13.49,179,26,86,12,2,6,30,-60,-10.690000000000001,20,Southampton,24-25,2,하위권
Arsenal,25-26,77.49,33.13,79.87,10.33,349,71,27,85,26,7,5,44,5.1299999999999955,1,Arsenal,25-26,1,상위권
Manchester City,25-26,79.36,46.49,73.95,11.55,409,77,35,78,23,9,6,42,4.049999999999997,2,Manchester City,25-26,1,상위권
Manchester United,25-26,72.19,50.28,64.45,11.43,285,69,50,71,20,11,7,19,6.549999999999997,3,Manchester United,25-26,0,중위권
Aston Villa,25-26,56.2,56.68,51.07,13.05,293,56,49,65,19,8,11,7,13.93,4,Aston Villa,25-26,0,중위권
Liverpool,25-26,67.26,53.87,61.54,10.54,373,63,53,60,17,9,12,10,-1.5399999999999991,5,Liverpool,25-26,1,상위권
Bournemouth,25-26,66.83,56.77,60.33,10.68,275,58,54,57,13,18,7,4,-3.3299999999999983,6,Bournemouth,25-26,0,중위권
Sunderland,25-26,43.14,60.34,42.03,13.66,212,42,48,54,14,12,12,-6,11.969999999999999,7,Sunderland,25-26,0,중위권
Brighton,25-26,58.42,53.75,55.35,9.07,270,52,46,53,14,11,13,6,-2.3500000000000014,8,Brighton,25-26,0,중위권
Brentford,25-26,66.26,59.11,57.24,11.64,240,55,52,53,14,11,13,3,-4.240000000000002,9,Brentford,25-26,0,중위권
Chelsea,25-26,72.21,58.12,58.85,10.62,273,58,52,52,14,10,14,6,-6.850000000000001,10,Chelsea,25-26,0,중위권
Fulham,25-26,49.58,60.84,45.08,13.32,295,47,51,52,15,7,16,-4,6.920000000000002,11,Fulham,25-26,0,중위권
Newcastle United,25-26,60.61,57.31,54.83,10.7,274,53,55,49,14,7,17,-2,-5.829999999999998,12,Newcastle United,25-26,0,중위권
Everton,25-26,49.87,59.99,46.17,14.57,211,47,50,49,13,10,15,-3,2.8299999999999983,13,Everton,25-26,0,중위권
Leeds,25-26,59.77,56.33,56.5,13.01,200,49,56,47,11,14,13,-7,-9.5,14,Leeds,25-26,0,중위권
Crystal Palace,25-26,62.46,60.05,53.88,14.98,265,41,51,45,11,12,15,-10,-8.880000000000003,15,Crystal Palace,25-26,0,중위권
Nottingham Forest,25-26,48.94,64.74,42.24,14.89,210,48,51,44,11,11,16,-3,1.759999999999998,16,Nottingham Forest,25-26,2,하위권
Tottenham,25-26,46.8,55.59,49.25,10.98,206,48,57,41,10,11,17,-9,-8.25,17,Tottenham,25-26,0,중위권
West Ham,25-26,49.64,68.12,43.49,14.94,186,46,65,39,10,9,19,-19,-4.490000000000002,18,West Ham,25-26,2,하위권
Burnley,25-26,36.94,82.58,24.31,13.96,163,38,75,22,4,10,24,-37,-2.3099999999999987,19,Burnley,25-26,2,하위권
Wolverhampton Wanderers,25-26,38.44,68.3,35.44,14.1,172,27,68,20,3,11,24,-41,-15.439999999999998,20,Wolverhampton Wanderers,25-26,2,하위권
